Date,Open,High,Low,Close,Adj Close,Volume
9/10/2020,2.544792,2.665476,2.543483,2.583454,2.583454,200172999
9/11/2020,2.583454,2.62714,2.481582,2.572273,2.572273,187683930
9/12/2020,2.573144,2.635294,2.522984,2.611177,2.611177,172731455
9/13/2020,2.611177,2.74303,2.549499,2.620157,2.620157,230732356
9/14/2020,2.621037,2.701064,2.554102,2.629341,2.629341,181332730
9/15/2020,2.629621,2.678468,2.519811,2.521114,2.521114,196681903
9/16/2020,2.521272,2.545819,2.440593,2.49248,2.49248,187246375
9/17/2020,2.490655,2.563753,2.463422,2.491855,2.491855,155785198
9/18/2020,2.491855,2.532361,2.355147,2.405301,2.405301,153137959
9/19/2020,2.406807,2.407568,2.288446,2.344201,2.344201,148653832
9/20/2020,2.34658,2.408286,2.173612,2.222106,2.222106,156962844
9/21/2020,2.22199,2.266839,1.938357,1.985971,1.985971,238763507
9/22/2020,1.984334,2.181448,1.974125,2.117413,2.117413,163015986
9/23/2020,2.117413,2.151526,1.934777,1.956235,1.956235,147111267
9/24/2020,1.956045,2.175383,1.945384,2.155869,2.155869,127817155
9/25/2020,2.155644,2.278083,2.106696,2.211379,2.211379,121013716
9/26/2020,2.213616,2.240953,2.149433,2.172107,2.172107,106343294
9/27/2020,2.172194,2.22563,2.110242,2.176041,2.176041,100319529
9/28/2020,2.176041,2.354604,2.174974,2.256451,2.256451,126374757
9/29/2020,2.255437,2.309006,2.144667,2.231959,2.231959,108454816
9/30/2020,2.230635,2.237488,2.144403,2.199606,2.199606,106358108
10/1/2020,2.199606,2.297749,2.15326,2.193323,2.193323,126415924
10/2/2020,2.19388,2.206126,2.0369,2.091293,2.091293,141246377
10/3/2020,2.091293,2.148751,2.077343,2.119305,2.119305,89222657
10/4/2020,2.119305,2.155172,2.093465,2.117965,2.117965,95035974
10/5/2020,2.117965,2.169624,2.084872,2.149064,2.149064,88497830
10/6/2020,2.149612,2.234567,2.046847,2.0654,2.0654,145996245
10/7/2020,2.0654,2.126996,2.040857,2.069403,2.069403,121254109
10/8/2020,2.071195,2.146203,2.018355,2.113259,2.113259,128463653
10/9/2020,2.112544,2.234169,2.083499,2.204242,2.204242,148869976
10/10/2020,2.232665,2.307616,2.227475,2.247789,2.247789,167114270
10/11/2020,2.24272,2.347034,2.231819,2.287798,2.287798,152221235
10/12/2020,2.288222,2.402571,2.270517,2.371487,2.371487,185141056
10/13/2020,2.369784,2.46877,2.347346,2.414905,2.414905,197099145
10/14/2020,2.420466,2.439768,2.270813,2.317328,2.317328,171394350
10/15/2020,2.307891,2.335602,2.249629,2.27896,2.27896,136451969
10/16/2020,2.282231,2.317532,2.205017,2.21424,2.21424,131137574
10/17/2020,2.215166,2.276998,2.202344,2.26221,2.26221,92317281
10/18/2020,2.263661,2.315809,2.263087,2.302662,2.302662,91695525
10/19/2020,2.302953,2.306274,2.224362,2.233726,2.233726,141524935
10/20/2020,2.23328,2.23328,2.046108,2.055289,2.055289,187660266
10/21/2020,2.056737,2.174148,2.055782,2.133083,2.133083,189646506
10/22/2020,2.128939,2.239092,2.126969,2.187366,2.187366,180907443
10/23/2020,2.189517,2.260506,2.170406,2.220113,2.220113,161298187
10/24/2020,2.220118,2.238359,2.195292,2.218898,2.218898,112253295
10/25/2020,2.218898,2.246628,2.158588,2.167555,2.167555,135658209
10/26/2020,2.167556,2.179667,2.068644,2.09673,2.09673,159222735
10/27/2020,2.096727,2.129095,2.067676,2.084499,2.084499,176862174
10/28/2020,2.084501,2.113117,1.945273,2.00435,2.00435,170322091
10/29/2020,2.004354,2.046582,1.90224,1.933596,1.933596,136062646
10/30/2020,1.933601,1.960384,1.798978,1.903582,1.903582,157440828
10/31/2020,1.903584,2.015898,1.894852,1.97598,1.97598,140233228
11/1/2020,1.97598,2.001814,1.934924,1.985351,1.985351,107373598
11/2/2020,1.985334,2.062827,1.889796,1.89655,1.89655,132681106
11/3/2020,1.896543,1.914744,1.811455,1.868325,1.868325,138243205
11/4/2020,1.868321,1.898696,1.788922,1.876327,1.876327,161150029
11/5/2020,1.876342,1.967678,1.819839,1.882145,1.882145,206184470
11/6/2020,1.882145,2.092213,1.878242,2.086628,2.086628,289623871
11/7/2020,2.086628,2.19987,1.961864,2.021119,2.021119,309422431
11/8/2020,2.021119,2.148258,1.986326,2.087435,2.087435,183442701
11/9/2020,2.087435,2.15144,2.026432,2.091252,2.091252,159050814
11/10/2020,2.091351,2.18495,2.091351,2.14915,2.14915,172863001
11/11/2020,2.149149,2.195464,2.111069,2.121739,2.121739,161219992
11/12/2020,2.121719,2.153845,2.047001,2.072694,2.072694,170321242
11/13/2020,2.072682,2.152263,2.067032,2.150779,2.150779,148816436
11/14/2020,2.150779,2.158651,2.052851,2.100358,2.100358,139185340
11/15/2020,2.100358,2.107226,1.984157,2.01959,2.01959,156096825
11/16/2020,2.019589,2.093832,1.998578,2.081964,2.081964,159031187
11/17/2020,2.106748,2.151114,2.094151,2.142106,2.142106,190495116
11/18/2020,2.142104,2.182212,2.020661,2.086394,2.086394,209844569
11/19/2020,2.086365,2.138602,2.023493,2.078937,2.078937,156018268
11/20/2020,2.078949,2.149054,2.06726,2.104794,2.104794,219284139
11/21/2020,2.104794,2.382895,2.060323,2.372422,2.372422,476186262
11/22/2020,2.372422,2.425051,2.177352,2.269448,2.269448,352241350
11/23/2020,2.269451,2.653777,2.269451,2.619798,2.619798,435424500
11/24/2020,2.619928,2.817467,2.499882,2.664774,2.664774,524332877
11/25/2020,2.665951,2.941386,2.499971,2.602808,2.602808,499346437
11/26/2020,2.602492,2.655576,2.112499,2.246168,2.246168,566448836
11/27/2020,2.2475,2.337224,2.170872,2.252426,2.252426,296100133
11/28/2020,2.252338,2.428769,2.215001,2.324913,2.324913,231667777
11/29/2020,2.324979,2.434491,2.28565,2.360903,2.360903,206799140
11/30/2020,2.361126,2.533301,2.336569,2.480068,2.480068,250350581
12/1/2020,2.481717,2.546355,2.248659,2.329803,2.329803,307228805
12/2/2020,2.32926,2.411185,2.299241,2.389883,2.389883,191946335
12/3/2020,2.389982,2.445981,2.382654,2.407302,2.407302,156763160
12/4/2020,2.407266,2.429839,2.232356,2.284915,2.284915,186363130
12/5/2020,2.283694,2.331051,2.245094,2.322503,2.322503,145917728
12/6/2020,2.322211,2.339513,2.258126,2.325855,2.325855,147506850
12/7/2020,2.325787,2.329363,2.2334,2.278246,2.278246,141701562
12/8/2020,2.278147,2.35746,2.114231,2.151994,2.151994,201313792
12/9/2020,2.151837,2.197667,2.048744,2.173464,2.173464,195559315
12/10/2020,2.17347,2.181725,2.083379,2.107015,2.107015,116436664
12/11/2020,2.107407,2.113202,2.047786,2.082001,2.082001,132572048
12/12/2020,2.080809,2.15701,2.07828,2.134679,2.134679,115337157
12/13/2020,2.134937,2.26704,2.127146,2.227776,2.227776,143202052
12/14/2020,2.228488,2.263734,2.179376,2.224565,2.224565,119074381
12/15/2020,2.224497,2.259809,2.189544,2.233796,2.233796,110384844
12/16/2020,2.233514,2.364973,2.204192,2.362015,2.362015,173196508
12/17/2020,2.363074,2.426924,2.287007,2.294305,2.294305,255570523
12/18/2020,2.294657,2.342078,2.263401,2.327642,2.327642,158047716
12/19/2020,2.327558,2.386981,2.303525,2.327448,2.327448,154315259
12/20/2020,2.327061,2.353211,2.24379,2.26636,2.26636,142718426
12/21/2020,2.266845,2.309777,2.128629,2.187955,2.187955,181446471
12/22/2020,2.18703,2.19138,2.083613,2.185688,2.185688,188460624
12/23/2020,2.185157,2.200939,1.644792,1.820356,1.820356,240904391
12/24/2020,1.818252,2.081701,1.79539,2.061476,2.061476,206928500
12/25/2020,2.060953,2.111155,1.995915,2.027511,2.027511,171185239
12/26/2020,2.027713,2.037178,1.931081,1.976522,1.976522,140203420
12/27/2020,1.976812,2.13096,1.885816,2.001074,2.001074,217880482
12/28/2020,2.001178,2.214354,1.990319,2.119664,2.119664,184326551
12/29/2020,2.119271,2.166275,1.987449,2.043772,2.043772,236659305
